elapsed_secs,sample_window_ops,window_throughput,cumulative_ops,cumulative_throughput,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,error_rate,cumulative_error_rate
10.01,20911,2091.10,20916,2089.36,2.64,2,5,8,0.0000,0.0000
20.01,20896,2089.60,41814,2089.19,2.64,2,5,8,0.0000,0.0000
30.02,20822,2082.20,62636,2086.60,2.66,2,5,8,0.0000,0.0000
40.02,21102,2110.20,83732,2092.13,2.58,2,4,7,0.0000,0.0000
50.03,20919,2091.90,104653,2091.93,2.64,2,5,8,0.0000,0.0000
60.03,21003,2100.30,125657,2093.20,2.63,2,5,8,0.0000,0.0000
70.03,20971,2097.10,146628,2093.67,2.61,2,5,7,0.0000,0.0000
80.04,20904,2090.40,167528,2093.08,2.66,2,5,8,0.0000,0.0000
90.04,20848,2084.80,188379,2092.13,2.69,2,5,8,0.0000,0.0000
100.05,21168,2116.80,209547,2094.52,2.57,2,4,7,0.0000,0.0000
110.05,20915,2091.50,230464,2094.20,2.62,2,5,7,0.0000,0.0000
120.05,20923,2092.30,251384,2093.95,2.68,2,5,8,0.0000,0.0000
130.06,20924,2092.40,272314,2093.82,2.67,2,5,8,0.0000,0.0000
140.06,21205,2120.50,293514,2095.60,2.45,2,4,7,0.0000,0.0000
150.06,21203,2120.30,314727,2097.28,2.16,2,4,7,0.0000,0.0000
160.07,21268,2126.80,335982,2098.99,2.14,2,4,7,0.0000,0.0000
170.07,21389,2138.90,357374,2101.32,2.10,2,4,6,0.0000,0.0000
180.07,21366,2136.60,378739,2103.24,2.11,2,4,6,0.0000,0.0000
190.08,21056,2105.60,399796,2103.34,2.24,2,5,7,0.0000,0.0000
200.08,21468,2146.80,421267,2105.50,2.09,2,4,6,0.0000,0.0000
210.08,21219,2121.90,442486,2106.25,2.16,2,4,7,0.0000,0.0000
220.08,21104,2110.40,463587,2106.40,2.47,2,4,7,0.0000,0.0000
230.09,21153,2115.30,484742,2106.76,2.59,2,4,7,0.0000,0.0000
240.09,20944,2094.40,505685,2106.21,2.65,2,5,8,0.0000,0.0000
250.10,21061,2106.10,526745,2106.17,2.58,2,4,7,0.0000,0.0000
260.10,20999,2099.90,547745,2105.91,2.58,2,4,7,0.0000,0.0000
270.10,21001,2100.10,568753,2105.70,2.61,2,4,7,0.0000,0.0000
280.11,20946,2094.60,589691,2105.22,2.63,2,5,7,0.0000,0.0000
290.11,20890,2089.00,610585,2104.65,2.67,2,5,8,0.0000,0.0000
300.12,20942,2094.20,631524,2104.27,2.62,2,5,7,0.0000,0.0000
310.12,20984,2098.40,652513,2104.07,2.61,2,5,7,0.0000,0.0000
320.13,20818,2081.80,673324,2103.31,2.67,2,5,8,0.0000,0.0000
330.13,20983,2098.30,694308,2103.14,2.58,2,4,7,0.0000,0.0000
340.13,20937,2093.70,715252,2102.87,2.59,2,4,7,0.0000,0.0000
350.14,21093,2109.30,736339,2103.00,2.57,2,4,7,0.0000,0.0000
360.14,20933,2093.30,757287,2102.76,2.63,2,5,7,0.0000,0.0000
370.15,21055,2105.50,778326,2102.74,2.59,2,5,7,0.0000,0.0000
380.15,20973,2097.30,799296,2102.56,2.60,2,5,7,0.0000,0.0000
390.16,20989,2098.90,820286,2102.46,2.62,2,5,7,0.0000,0.0000
400.16,20909,2090.90,841201,2102.17,2.65,2,5,8,0.0000,0.0000
410.16,18826,1882.60,860041,2096.83,5.18,2,11,86,0.0000,0.0000
420.18,21179,2117.90,881205,2097.23,2.55,2,4,7,0.0000,0.0000
430.18,21058,2105.80,902263,2097.39,2.59,2,4,8,0.0000,0.0000
440.19,21124,2112.40,923391,2097.72,2.55,2,4,7,0.0000,0.0000
450.20,21076,2107.60,944459,2097.89,2.58,2,4,7,0.0000,0.0000
460.20,21062,2106.20,965523,2098.06,2.57,2,4,7,0.0000,0.0000
470.20,21015,2101.50,986541,2098.13,2.62,2,5,8,0.0000,0.0000
480.20,20960,2096.00,1007501,2098.07,2.61,2,4,8,0.0000,0.0000
490.21,21077,2107.70,1028573,2098.24,2.59,2,4,8,0.0000,0.0000
500.21,20975,2097.50,1049552,2098.22,2.61,2,4,7,0.0000,0.0000
510.21,20970,2097.00,1070520,2098.17,2.62,2,5,7,0.0000,0.0000
520.22,20892,2089.20,1091411,2097.98,2.71,2,5,8,0.0000,0.0000
530.22,20925,2092.50,1112338,2097.87,2.64,2,4,9,0.0000,0.0000
540.23,21054,2105.40,1133390,2097.99,2.47,2,4,7,0.0000,0.0000
550.23,21138,2113.80,1154529,2098.26,2.44,2,4,7,0.0000,0.0000
560.23,21000,2100.00,1175531,2098.28,2.55,2,4,8,0.0000,0.0000
570.24,20915,2091.50,1196442,2098.15,2.56,2,5,7,0.0000,0.0000
580.24,20971,2097.10,1217411,2098.10,2.64,2,5,10,0.0000,0.0000
590.25,20923,2092.30,1238335,2098.00,2.60,2,4,8,0.0000,0.0000
600.25,20708,2070.80,1259049,2097.55,2.75,2,6,10,0.0000,0.0000
610.25,21193,2119.30,1280240,2097.89,2.43,2,4,7,0.0000,0.0000
620.25,21453,2145.30,1301698,2098.65,2.09,2,4,7,0.0000,0.0000
630.26,21428,2142.80,1323118,2099.33,2.11,2,4,6,0.0000,0.0000
640.26,21429,2142.90,1344545,2100.00,2.03,2,4,6,0.0000,0.0000
650.26,21331,2133.10,1365879,2100.50,2.08,2,4,7,0.0000,0.0000
660.27,21070,2107.00,1386948,2100.59,2.49,2,5,10,0.0000,0.0000
670.27,21049,2104.90,1408006,2100.66,2.56,2,4,7,0.0000,0.0000
680.27,21238,2123.80,1429235,2100.97,2.26,2,4,7,0.0000,0.0000
690.28,21247,2124.70,1450486,2101.31,2.17,2,4,7,0.0000,0.0000
700.28,21214,2121.40,1471696,2101.58,2.15,2,4,6,0.0000,0.0000
710.28,21333,2133.30,1493031,2102.03,2.12,2,4,7,0.0000,0.0000
720.28,21084,2108.40,1514118,2102.11,2.50,2,4,7,0.0000,0.0000
730.29,20891,2089.10,1535007,2101.92,2.61,2,5,8,0.0000,0.0000
740.29,21008,2100.80,1556012,2101.90,2.61,2,4,8,0.0000,0.0000
750.29,21245,2124.50,1577256,2102.19,2.25,2,5,8,0.0000,0.0000
760.30,21165,2116.50,1598423,2102.37,2.20,2,4,7,0.0000,0.0000
770.30,21387,2138.70,1619808,2102.83,2.10,2,4,7,0.0000,0.0000
780.30,21330,2133.00,1641140,2103.22,2.13,2,4,7,0.0000,0.0000
