concurrent_clients,elapsed_secs,total_ops,throughput,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,error_rate,success_count,error_count
5,30.03,4120,137.37,11.09,10,20,23,0.0000,4120,0
10,60.09,9668,322.30,7.59,7,14,17,0.0000,9668,0
15,90.12,15852,528.38,5.40,5,10,14,0.0000,15852,0
20,120.17,22385,746.16,4.04,4,8,11,0.0000,22385,0
25,150.22,29261,975.33,3.81,4,7,10,0.0000,29261,0
30,180.25,35365,1178.86,3.85,4,7,11,0.0000,35365,0
35,210.30,40900,1363.14,4.37,4,8,12,0.0000,40900,0
40,240.35,47694,1589.74,4.05,4,8,12,0.0000,47694,0
45,270.40,53954,1798.38,3.96,4,8,12,0.0000,53954,0
50,300.45,58127,1937.38,4.81,5,10,14,0.0000,58127,0
55,330.51,65475,2182.58,4.31,4,9,13,0.0000,65475,0
60,360.56,71027,2367.48,4.46,4,9,13,0.0000,71027,0
65,390.61,75253,2508.41,5.05,5,11,15,0.0000,75253,0
70,420.68,80866,2695.47,5.19,5,11,16,0.0000,80866,0
75,450.74,84267,2808.78,5.86,5,13,18,0.0000,84267,0
80,480.80,87596,2919.94,6.57,6,15,20,0.0000,87596,0
85,510.86,91600,3052.97,7.04,6,16,23,0.0000,91600,0
90,540.94,94560,3152.25,7.77,6,18,25,0.0000,94560,0
95,571.02,95689,3189.89,9.03,7,22,30,0.0000,95689,0
100,601.08,97794,3259.39,9.91,8,24,34,0.0000,97794,0
